from,to,session_id,timestamp
coach,competition,43,2017-09-16 08:41:11.372999936
competition,personal,43,2017-09-16 08:41:20.127000064
personal,competition,43,2017-09-16 08:41:31.107000064
competition,exit,43,2017-09-16 08:41:31.107000064
coach,competition,44,2017-09-16 12:00:21.062000128
competition,coach,44,2017-09-16 12:02:29.780999936
coach,exit,44,2017-09-16 12:02:29.780999936
coach,competition,45,2017-09-16 15:12:56.827000064
competition,exit,45,2017-09-16 15:12:56.827000064
coach,competition,46,2017-09-16 20:18:55.704999936
competition,exit,46,2017-09-16 20:18:55.704999936
coach,competition,47,2017-09-17 10:05:00.099000064
competition,coach,47,2017-09-17 10:05:15.464000000
coach,team,47,2017-09-17 10:05:20.975000064
team,exit,47,2017-09-17 10:05:20.975000064
competition,exit,48,2017-09-17 10:50:51.519000064
competition,exit,49,2017-09-17 11:20:50.936999936
competition,team,50,2017-09-17 12:51:53.064999936
team,exit,50,2017-09-17 12:51:53.064999936
team,competition,51,2017-09-17 15:09:32.308000000
competition,team,51,2017-09-17 15:09:41.072000000
team,personal,51,2017-09-17 15:09:42.932999936
personal,team,51,2017-09-17 15:09:51.644000000
team,competition,51,2017-09-17 15:09:53.644999936
competition,exit,51,2017-09-17 15:09:53.644999936
coach,competition,52,2017-09-18 05:41:18.660999936
competition,team,52,2017-09-18 05:41:27.007000064
team,exit,52,2017-09-18 05:41:27.007000064
coach,competition,53,2017-09-18 07:00:08.953999872
competition,exit,53,2017-09-18 07:00:08.953999872
coach,competition,54,2017-09-18 08:57:18.200000000
competition,exit,54,2017-09-18 08:57:18.200000000
coach,competition,55,2017-09-18 11:23:07.398000128
competition,team,55,2017-09-18 11:23:12.591000064
team,exit,55,2017-09-18 11:23:12.591000064
coach,team,56,2017-09-19 03:45:33.175000064
team,competition,56,2017-09-19 03:45:54.731000064
competition,exit,56,2017-09-19 03:45:54.731000064
coach,team,57,2017-09-19 08:39:02.971000064
team,competition,57,2017-09-19 08:39:14.196000000
competition,exit,57,2017-09-19 08:39:14.196000000
coach,team,58,2017-09-19 09:26:06.827000064
team,competition,58,2017-09-19 09:26:12.656000000
competition,coach,58,2017-09-19 09:49:31.831000064
coach,competition,58,2017-09-19 09:49:36.288999936
competition,exit,58,2017-09-19 09:49:36.288999936
competition,exit,59,2017-09-19 11:07:26.336000000
competition,track,60,2017-09-19 13:37:28.488000000
track,team,60,2017-09-19 13:37:31.060999936
team,exit,60,2017-09-19 13:37:31.060999936
personal,team,61,2017-09-19 15:24:03.544000000
team,track,61,2017-09-19 15:24:07.062000128
track,exit,61,2017-09-19 15:24:07.062000128
route,track,62,2017-09-19 16:11:06.072999936
track,team,62,2017-09-19 16:18:46.107000064
team,competition,62,2017-09-19 16:18:52.780999936
competition,exit,62,2017-09-19 16:18:52.780999936
competition,exit,63,2017-09-19 16:58:29.328000000
team,competition,64,2017-09-19 18:25:59.872000000
competition,exit,64,2017-09-19 18:25:59.872000000
competition,badges,65,2017-09-19 20:27:09.171000064
badges,exit,65,2017-09-19 20:27:09.171000064
badges,competition,66,2017-09-20 03:40:05.644000000
competition,exit,66,2017-09-20 03:40:05.644000000
coach,competition,67,2017-09-20 10:16:49.700000000
competition,team,67,2017-09-20 10:16:58.859000064
team,routes,67,2017-09-20 10:17:25.798000128
routes,route,67,2017-09-20 10:17:32.055000064
route,routes,67,2017-09-20 10:17:41.020999936
routes,coach,67,2017-09-20 10:17:44.520999936
coach,exit,67,2017-09-20 10:17:44.520999936
coach,personal,68,2017-09-20 11:57:43.716999936
personal,coach,68,2017-09-20 11:57:51.828000000
coach,track,68,2017-09-20 11:57:53.855000064
track,exit,68,2017-09-20 11:57:53.855000064
coach,track,69,2017-09-20 12:53:22.600000000
track,route,69,2017-09-20 12:53:24.128000000
route,exit,69,2017-09-20 12:53:24.128000000
route,exit,70,2017-09-20 13:39:33.072000000
coach,team,71,2017-09-20 20:36:52.769999872
team,competition,71,2017-09-20 20:37:20.264999936
competition,exit,71,2017-09-20 20:37:20.264999936
coach,personal,72,2017-09-21 10:13:58.600000000
personal,coach,72,2017-09-21 10:14:08.799000064
coach,track,72,2017-09-21 10:14:10.631000064
track,route,72,2017-09-21 10:20:32.080999936
route,track,72,2017-09-21 10:20:35.032999936
track,exit,72,2017-09-21 10:20:35.032999936
coach,competition,73,2017-09-21 12:40:19.929999872
competition,coach,73,2017-09-21 12:40:24.220000000
coach,team,73,2017-09-21 12:40:25.992000000
team,exit,73,2017-09-21 12:40:25.992000000
coach,competition,74,2017-09-21 16:04:33.420999936
competition,track,74,2017-09-21 16:04:41.792999936
track,exit,74,2017-09-21 16:04:41.792999936
coach,track,75,2017-09-21 17:29:29.348999936
track,route,75,2017-09-21 17:29:33.136999936
route,coach,75,2017-09-21 17:29:49.811000064
coach,competition,75,2017-09-21 17:30:01.380999936
competition,exit,75,2017-09-21 17:30:01.380999936
coach,competition,76,2017-09-21 18:56:21.496000000
competition,exit,76,2017-09-21 18:56:21.496000000
coach,team,77,2017-09-21 20:20:27.840000000
team,competition,77,2017-09-21 20:21:17.760999936
competition,exit,77,2017-09-21 20:21:17.760999936
personal,coach,78,2017-09-22 08:20:26.219000064
coach,competition,78,2017-09-22 08:20:27.400000000
